source_file,file_kind,source_size_bytes,source_sha256,phase,phase_name,target_path,disposition,required_action,parity_gate,initial_status,required
docs/PROOF_OBLIGATION_GRAPH.md,documentation,2239,0ac4b062b87b334db458c9460962000324084a19a8886898657085bf1e448b7b,06,记忆与证明图,docs/legacy/python-baseline/PROOF_OBLIGATION_GRAPH.md; docs/proof-graph.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/PROOF_SCOPE_AND_INFERENCE_RISKS.md,documentation,4010,0799c94ad14c98a2e16b102709ebc47029cb50fc24319566de46b6a4d0d30909,10,Proof Control,docs/legacy/python-baseline/PROOF_SCOPE_AND_INFERENCE_RISKS.md; docs/proof-control.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/RESEARCH_NOTES.md,documentation,12645,5b446b030c40a17978194a238953753d212e377bb4841cf5047f5c1ec1253cfa,16,旧版本兼容与差分验证,docs/legacy/python-baseline/RESEARCH_NOTES.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/TYPED_MEMORY.md,documentation,2671,fb7601020dec99f0317cd510c32b4509299a01adfa9b91291da367fbf7757026,06,记忆与证明图,docs/legacy/python-baseline/TYPED_MEMORY.md; docs/memory.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/TYPED_MESSAGE_PROTOCOL.md,documentation,3981,dc6c94d156ee1632735c5a2414d6fe6e6251650c831b9364a3361bcf33e1c1ed,05,通信与拓扑,docs/legacy/python-baseline/TYPED_MESSAGE_PROTOCOL.md; docs/communication.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/V0_7_BASELINE_AUDIT.md,documentation,5130,958be7e36d49f90df0e9cb46a57345d3e8863ff3c7414d3746fb409ee1060a86,16,旧版本兼容与差分验证,docs/legacy/python-baseline/V0_7_BASELINE_AUDIT.md; docs/compatibility.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/V0_8_1_SEMANTIC_CONTROL_FIX_MAP.md,documentation,14183,f67d48607c64858877d9291cd2024eeb45dfb7a95948f3104355eabb291ff557,16,旧版本兼容与差分验证,docs/legacy/python-baseline/V0_8_1_SEMANTIC_CONTROL_FIX_MAP.md; docs/compatibility.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/V0_8_2_SEMANTIC_EXECUTION_FIX_MAP.md,documentation,19786,f10db70783b031886e88ad209baa35d8d96de04f791b260ff377a9b7eb094d11,16,旧版本兼容与差分验证,docs/legacy/python-baseline/V0_8_2_SEMANTIC_EXECUTION_FIX_MAP.md; docs/compatibility.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/V0_8_3_ROUTE_ADMISSION_RECOVERY_MAP.md,documentation,10352,22a15ff7722e6e6c5b529d338442370b45b38235130bb7348c5dd3f4f67899e9,16,旧版本兼容与差分验证,docs/legacy/python-baseline/V0_8_3_ROUTE_ADMISSION_RECOVERY_MAP.md; docs/compatibility.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/V0_8_5_COMMON_MODE_RECOVERY_FIX_MAP.md,documentation,3942,bf7ee9adeb85082f40d2e7bb2f722a60d326cdf8f2a5df8243647eb63ed46954,16,旧版本兼容与差分验证,docs/legacy/python-baseline/V0_8_5_COMMON_MODE_RECOVERY_FIX_MAP.md; docs/compatibility.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/V0_8_6_BILINGUAL_SEMANTIC_AUDIT_MAP.md,documentation,3670,16f32e05255d2d2525850dcce7ff6bf00f8d25100ce463094ba467391a9679b5,16,旧版本兼容与差分验证,docs/legacy/python-baseline/V0_8_6_BILINGUAL_SEMANTIC_AUDIT_MAP.md; docs/compatibility.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/V0_8_7_DEPENDENCY_REF_MIGRATION_MAP.md,documentation,3605,5af5e8c0ed8eae67342a6163e6040cd1b3d02ccc23e8ac6e2adbbe5f1d6e2a05,16,旧版本兼容与差分验证,docs/legacy/python-baseline/V0_8_7_DEPENDENCY_REF_MIGRATION_MAP.md; docs/compatibility.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/V0_8_COMMON_MODE_EXECUTION_CLOSURE_MAP.md,documentation,7273,02465ad386950f852792a06ad663472ceefd21116eb596b23bb0552df81d97de,16,旧版本兼容与差分验证,docs/legacy/python-baseline/V0_8_COMMON_MODE_EXECUTION_CLOSURE_MAP.md; docs/compatibility.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/V0_8_PROOF_CONTROL_IMPLEMENTATION_MAP.md,documentation,14238,af82e67dae1633e6357866d1450513351edecf03f471b487af392a506c1fcaf8,16,旧版本兼容与差分验证,docs/legacy/python-baseline/V0_8_PROOF_CONTROL_IMPLEMENTATION_MAP.md; docs/compatibility.md; docs/proof-control.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/VALIDATION.md,documentation,18864,7bea2cb7f5123dd53a70ef5129defc042f43fb51b5e877e644f9343509c14572,17,文档、CI、发布与最终验收,docs/legacy/python-baseline/VALIDATION.md; docs/testing.md; docs/verification.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/VALIDATION_ESCALATION.md,documentation,1806,f1d615a2c2b7fd400734f213c2fabcb08e98ad4877d8ab91166636e4d3d770f5,09,验证体系,docs/legacy/python-baseline/VALIDATION_ESCALATION.md; docs/verification.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
examples/problem.txt,example,76,38d046bd471ba40078196ffa8a091afa9759e814d2ead93420a685de724328b4,14,REST/SSE、CLI 与示例,examples/problem.txt,byte-for-byte-copy,作为 CLI/REST/desktop Mock smoke 输入复制,SHA-256 一致；三种入口对该题产生一致结构化状态,pending,true
packaging/windows/MathProofMesh.iss,packaging,1536,5e3bd086b2799003dc472d2f9bf974b39a37b61a0c03d49abd2243a464c8301b,15,JavaFX 桌面与打包,migration/baseline/packaging/windows/MathProofMesh.iss,baseline-only,保留 Inno Setup 脚本作功能/快捷方式/卸载行为参照；生产打包改用 jpackage，只有 jpackage 无法满足中文安装器验收时才在 ADR 后增加最小 WiX 定制,SHA-256 一致；jpackage/WiX 产物覆盖安装、菜单、卸载和本地启动行为,pending,true
packaging/windows/MathProofMesh.spec,packaging,2398,4dc90ab4b50650fdc07887057da9983588124de9b4df5d44385685292f689be6,15,JavaFX 桌面与打包,migration/baseline/packaging/windows/MathProofMesh.spec,baseline-only,保留 PyInstaller 配置参照；不得在 Java 发布流程继续使用 PyInstaller,SHA-256 一致；Java 发布不依赖 PyInstaller,pending,true
packaging/windows/README.md,packaging,1375,7a6179035c898d6072ce60a68f2f1c82def33c79af9de638edb56f7c1fc14dde,15,JavaFX 桌面与打包,migration/baseline/packaging/windows/README.md; docs/desktop-packaging.md,copy-reference-and-rewrite,保留旧打包说明，重写为 JDK jpackage、WiX 前置条件、签名和干净机 smoke 步骤,旧 SHA 一致；新文档命令可重现安装包,pending,true
packaging/windows/assets/mathproofmesh.ico,packaging,75288,90899e185b91f9ef12a2b090760d8f6a9aefaedb5b0f5134db8c778c56f14dff,15,JavaFX 桌面与打包,mathproofmesh-desktop/src/main/resources/io/github/aililuola/mathproofmesh/desktop/assets/mathproofmesh.ico,byte-for-byte-copy,复制 Windows 安装器图标；不得重编码,SHA-256 一致；jpackage 产物显示该图标,pending,true
packaging/windows/assets/mathproofmesh.png,packaging,947129,918252777a50cad52bd2f46b9667e54efa01b6efa99129ef111b890b427c43a4,15,JavaFX 桌面与打包,mathproofmesh-desktop/src/main/resources/io/github/aililuola/mathproofmesh/desktop/assets/mathproofmesh.png,byte-for-byte-copy,复制桌面资源图标；不得重编码,SHA-256 一致；JavaFX 可从 classpath 加载,pending,true
packaging/windows/build.ps1,packaging,4891,0894ac11643ab0f0084b045f09314f2ab25dc469321c5743e2f7a29e25098be7,15,JavaFX 桌面与打包,migration/baseline/packaging/windows/build.ps1; scripts/package-desktop.ps1,copy-reference-and-reimplement,保留旧脚本并用 jpackage 重写；固定输入、版本、图标、输出目录和 checksum；禁止把 secret 打进包,旧 SHA 一致；新脚本在干净 Windows 环境产出可安装/可卸载包,pending,true
packaging/windows/desktop_entry.py,packaging,197,119ad33b20cb98f255ecad6acd5d1b9fa08db37038fed68e56eaa31d1b7105d6,15,JavaFX 桌面与打包,migration/baseline/packaging/windows/desktop_entry.py; mathproofmesh-desktop/src/main/java/io/github/aililuola/mathproofmesh/desktop/DesktopLauncher.java,copy-reference-and-reimplement,迁移启动、单实例、本地 server 生命周期和隐藏窗口行为到 JavaFX Launcher,启动/退出/health/hidden-window smoke 与原行为等价,pending,true
packaging/windows/languages/ChineseSimplified.isl,packaging,21019,869e43e7c7b8d20c7e4397c8e98f7d1b7cf0528803acdf019ad350143ec85469,15,JavaFX 桌面与打包,migration/baseline/packaging/windows/languages/ChineseSimplified.isl; mathproofmesh-desktop/src/main/resources/i18n/installer_zh_CN.properties,copy-reference-and-localize,保留原 Inno 语言文件；提取用户可见文案为 UTF-8 资源。若 jpackage 安装器不能满足中文界面门禁，按 ADR 使用最小 WiX localization,原 SHA 一致；中文 Windows 安装/卸载关键文案与功能通过 smoke,pending,true
packaging/windows/make_icon.py,packaging,1188,6af1dc1ff1ef404b2096973368ea5bc4364a985c9ee4a9f6e17eed774b44098e,15,JavaFX 桌面与打包,migration/baseline/packaging/windows/make_icon.py,baseline-only,保留图标生成逻辑参照；首版直接使用已验证 ico/png，不在构建中引入 Pillow,SHA-256 一致；发布图标 hash 固定且构建无需 Python 图像工具,pending,true
packaging/windows/version_info.txt,packaging,874,7c2998c6c8c1d5540f0fabc7af2411a661985484b9cbc354ee615dd543b0fcc5,15,JavaFX 桌面与打包,migration/baseline/packaging/windows/version_info.txt; mathproofmesh-desktop/src/main/resources/version.properties,copy-reference-and-translate,把产品名、文件版本、公司/版权字段迁移到 Maven resource filtering/jpackage 参数,原 SHA 一致；安装包和可执行文件版本为 0.8.0且元数据完整,pending,true
pyproject.toml,build_metadata,1247,6d50dc6126645a589b0c567f76d7b710afacfe9a5861c1477c075124e14c2021,00,基线、库存与环境预检,migration/baseline/pyproject.toml; python-compute-service/pyproject.toml,copy-reference-and-derive,按字节保存基线；第 8 阶段生成最小侧车 pyproject，仅保留实际需要的 SymPy/Z3/测试依赖并锁定版本,基线 SHA 一致；侧车不依赖原 mathproofmesh 包、FastAPI、desktop 或 Provider 客户端,pending,true
scripts/directed_computation_smoke.py,script,11065,7030c1b35df780872a5598dc19231307776ec5f132fc5a948ae35d64dcf2cd6c,08,计算引擎与受限侧车,migration/baseline/scripts/directed_computation_smoke.py; mathproofmesh-compatibility/src/test/java/io/github/aililuola/mathproofmesh/compatibility/DirectedComputationSmokeTest.java; scripts/directed-computation-smoke.ps1; scripts/directed-computation-smoke.sh,copy-reference-and-reimplement,迁移 bounded greedy sequence 等确定性 smoke，输出 evidence-linked 结果且 Provider 调用为 0,原 SHA 一致；Java smoke 复现 12 个精确项和同等未证明候选语义,pending,true
scripts/validate.sh,script,557,ac2e622b75420b018cc629e87d84c9b28c63652520acc7010ca03482e0631bdc,17,文档、CI、发布与最终验收,migration/baseline/scripts/validate.sh; scripts/verify-all.sh; scripts/verify-all.ps1,copy-reference-and-reimplement,重写全量构建、测试、安全、SBOM、源不可变和打包验证；Windows/Linux 命令等价,原 SHA 一致；两个脚本在各自平台失败即非零退出，完整门禁通过,pending,true
scripts/verify_sandbox.py,script,3737,c739ff316f392e67c033e97f339eaae26d075b258261a4e005c88430364509bb,08,计算引擎与受限侧车,migration/baseline/scripts/verify_sandbox.py; mathproofmesh-server/src/test/java/io/github/aililuola/mathproofmesh/computation/SandboxSecurityIT.java,copy-reference-and-reimplement,迁移 AST/容器/路径/网络/资源限制安全验证，不允许仅测试 happy path,原 SHA 一致；恶意源码、网络、文件、超时、内存和镜像 digest 用例全部被拦截,pending,true
